date,cy_date,year,month_name,date_yy_mmm
01-06-2017,01-06-2017,2017,June,17-Jun\r
02-06-2017,01-06-2017,2017,June,17-Jun\r
03-06-2017,01-06-2017,2017,June,17-Jun\r
04-06-2017,01-06-2017,2017,June,17-Jun\r
05-06-2017,01-06-2017,2017,June,17-Jun\r
06-06-2017,01-06-2017,2017,June,17-Jun\r
07-06-2017,01-06-2017,2017,June,17-Jun\r
08-06-2017,01-06-2017,2017,June,17-Jun\r
09-06-2017,01-06-2017,2017,June,17-Jun\r
10-06-2017,01-06-2017,2017,June,17-Jun\r
11-06-2017,01-06-2017,2017,June,17-Jun\r
12-06-2017,01-06-2017,2017,June,17-Jun\r
13-06-2017,01-06-2017,2017,June,17-Jun\r
14-06-2017,01-06-2017,2017,June,17-Jun\r
15-06-2017,01-06-2017,2017,June,17-Jun\r
16-06-2017,01-06-2017,2017,June,17-Jun\r
17-06-2017,01-06-2017,2017,June,17-Jun\r
18-06-2017,01-06-2017,2017,June,17-Jun\r
19-06-2017,01-06-2017,2017,June,17-Jun\r
20-06-2017,01-06-2017,2017,June,17-Jun\r
21-06-2017,01-06-2017,2017,June,17-Jun\r
22-06-2017,01-06-2017,2017,June,17-Jun\r
23-06-2017,01-06-2017,2017,June,17-Jun\r
24-06-2017,01-06-2017,2017,June,17-Jun\r
25-06-2017,01-06-2017,2017,June,17-Jun\r
26-06-2017,01-06-2017,2017,June,17-Jun\r
27-06-2017,01-06-2017,2017,June,17-Jun\r
28-06-2017,01-06-2017,2017,June,17-Jun\r
29-06-2017,01-06-2017,2017,June,17-Jun\r
30-06-2017,01-06-2017,2017,June,17-Jun\r
01-07-2017,01-07-2017,2017,July,17-Jul\r
02-07-2017,01-07-2017,2017,July,17-Jul\r
03-07-2017,01-07-2017,2017,July,17-Jul\r
04-07-2017,01-07-2017,2017,July,17-Jul\r
05-07-2017,01-07-2017,2017,July,17-Jul\r
06-07-2017,01-07-2017,2017,July,17-Jul\r
07-07-2017,01-07-2017,2017,July,17-Jul\r
08-07-2017,01-07-2017,2017,July,17-Jul\r
09-07-2017,01-07-2017,2017,July,17-Jul\r
10-07-2017,01-07-2017,2017,July,17-Jul\r
11-07-2017,01-07-2017,2017,July,17-Jul\r
12-07-2017,01-07-2017,2017,July,17-Jul\r
13-07-2017,01-07-2017,2017,July,17-Jul\r
14-07-2017,01-07-2017,2017,July,17-Jul\r
15-07-2017,01-07-2017,2017,July,17-Jul\r
16-07-2017,01-07-2017,2017,July,17-Jul\r
17-07-2017,01-07-2017,2017,July,17-Jul\r
18-07-2017,01-07-2017,2017,July,17-Jul\r
19-07-2017,01-07-2017,2017,July,17-Jul\r
20-07-2017,01-07-2017,2017,July,17-Jul\r
21-07-2017,01-07-2017,2017,July,17-Jul\r
22-07-2017,01-07-2017,2017,July,17-Jul\r
23-07-2017,01-07-2017,2017,July,17-Jul\r
24-07-2017,01-07-2017,2017,July,17-Jul\r
25-07-2017,01-07-2017,2017,July,17-Jul\r
26-07-2017,01-07-2017,2017,July,17-Jul\r
27-07-2017,01-07-2017,2017,July,17-Jul\r
28-07-2017,01-07-2017,2017,July,17-Jul\r
29-07-2017,01-07-2017,2017,July,17-Jul\r
30-07-2017,01-07-2017,2017,July,17-Jul\r
31-07-2017,01-07-2017,2017,July,17-Jul\r
01-08-2017,01-08-2017,2017,August,17-Aug\r
02-08-2017,01-08-2017,2017,August,17-Aug\r
03-08-2017,01-08-2017,2017,August,17-Aug\r
04-08-2017,01-08-2017,2017,August,17-Aug\r
05-08-2017,01-08-2017,2017,August,17-Aug\r
06-08-2017,01-08-2017,2017,August,17-Aug\r
07-08-2017,01-08-2017,2017,August,17-Aug\r
08-08-2017,01-08-2017,2017,August,17-Aug\r
09-08-2017,01-08-2017,2017,August,17-Aug\r
10-08-2017,01-08-2017,2017,August,17-Aug\r
11-08-2017,01-08-2017,2017,August,17-Aug\r
12-08-2017,01-08-2017,2017,August,17-Aug\r
13-08-2017,01-08-2017,2017,August,17-Aug\r
14-08-2017,01-08-2017,2017,August,17-Aug\r
15-08-2017,01-08-2017,2017,August,17-Aug\r
16-08-2017,01-08-2017,2017,August,17-Aug\r
17-08-2017,01-08-2017,2017,August,17-Aug\r
18-08-2017,01-08-2017,2017,August,17-Aug\r
19-08-2017,01-08-2017,2017,August,17-Aug\r
20-08-2017,01-08-2017,2017,August,17-Aug\r
21-08-2017,01-08-2017,2017,August,17-Aug\r
22-08-2017,01-08-2017,2017,August,17-Aug\r
23-08-2017,01-08-2017,2017,August,17-Aug\r
24-08-2017,01-08-2017,2017,August,17-Aug\r
25-08-2017,01-08-2017,2017,August,17-Aug\r
26-08-2017,01-08-2017,2017,August,17-Aug\r
27-08-2017,01-08-2017,2017,August,17-Aug\r
28-08-2017,01-08-2017,2017,August,17-Aug\r
29-08-2017,01-08-2017,2017,August,17-Aug\r
30-08-2017,01-08-2017,2017,August,17-Aug\r
31-08-2017,01-08-2017,2017,August,17-Aug\r
01-09-2017,01-09-2017,2017,September,17-Sep\r
02-09-2017,01-09-2017,2017,September,17-Sep\r
03-09-2017,01-09-2017,2017,September,17-Sep\r
04-09-2017,01-09-2017,2017,September,17-Sep\r
05-09-2017,01-09-2017,2017,September,17-Sep\r
06-09-2017,01-09-2017,2017,September,17-Sep\r
07-09-2017,01-09-2017,2017,September,17-Sep\r
08-09-2017,01-09-2017,2017,September,17-Sep\r
09-09-2017,01-09-2017,2017,September,17-Sep\r
10-09-2017,01-09-2017,2017,September,17-Sep\r
11-09-2017,01-09-2017,2017,September,17-Sep\r
12-09-2017,01-09-2017,2017,September,17-Sep\r
13-09-2017,01-09-2017,2017,September,17-Sep\r
14-09-2017,01-09-2017,2017,September,17-Sep\r
15-09-2017,01-09-2017,2017,September,17-Sep\r
16-09-2017,01-09-2017,2017,September,17-Sep\r
17-09-2017,01-09-2017,2017,September,17-Sep\r
18-09-2017,01-09-2017,2017,September,17-Sep\r
19-09-2017,01-09-2017,2017,September,17-Sep\r
20-09-2017,01-09-2017,2017,September,17-Sep\r
21-09-2017,01-09-2017,2017,September,17-Sep\r
22-09-2017,01-09-2017,2017,September,17-Sep\r
23-09-2017,01-09-2017,2017,September,17-Sep\r
24-09-2017,01-09-2017,2017,September,17-Sep\r
25-09-2017,01-09-2017,2017,September,17-Sep\r
26-09-2017,01-09-2017,2017,September,17-Sep\r
27-09-2017,01-09-2017,2017,September,17-Sep\r
28-09-2017,01-09-2017,2017,September,17-Sep\r
29-09-2017,01-09-2017,2017,September,17-Sep\r
30-09-2017,01-09-2017,2017,September,17-Sep\r
01-10-2017,01-10-2017,2017,October,17-Oct\r
02-10-2017,01-10-2017,2017,October,17-Oct\r
03-10-2017,01-10-2017,2017,October,17-Oct\r
04-10-2017,01-10-2017,2017,October,17-Oct\r
05-10-2017,01-10-2017,2017,October,17-Oct\r
06-10-2017,01-10-2017,2017,October,17-Oct\r
07-10-2017,01-10-2017,2017,October,17-Oct\r
08-10-2017,01-10-2017,2017,October,17-Oct\r
09-10-2017,01-10-2017,2017,October,17-Oct\r
10-10-2017,01-10-2017,2017,October,17-Oct\r
11-10-2017,01-10-2017,2017,October,17-Oct\r
12-10-2017,01-10-2017,2017,October,17-Oct\r
13-10-2017,01-10-2017,2017,October,17-Oct\r
14-10-2017,01-10-2017,2017,October,17-Oct\r
15-10-2017,01-10-2017,2017,October,17-Oct\r
16-10-2017,01-10-2017,2017,October,17-Oct\r
17-10-2017,01-10-2017,2017,October,17-Oct\r
18-10-2017,01-10-2017,2017,October,17-Oct\r
19-10-2017,01-10-2017,2017,October,17-Oct\r
20-10-2017,01-10-2017,2017,October,17-Oct\r
21-10-2017,01-10-2017,2017,October,17-Oct\r
22-10-2017,01-10-2017,2017,October,17-Oct\r
23-10-2017,01-10-2017,2017,October,17-Oct\r
24-10-2017,01-10-2017,2017,October,17-Oct\r
25-10-2017,01-10-2017,2017,October,17-Oct\r
26-10-2017,01-10-2017,2017,October,17-Oct\r
27-10-2017,01-10-2017,2017,October,17-Oct\r
28-10-2017,01-10-2017,2017,October,17-Oct\r
29-10-2017,01-10-2017,2017,October,17-Oct\r
30-10-2017,01-10-2017,2017,October,17-Oct\r
31-10-2017,01-10-2017,2017,October,17-Oct\r
01-11-2017,01-11-2017,2017,November,17-Nov\r
02-11-2017,01-11-2017,2017,November,17-Nov\r
03-11-2017,01-11-2017,2017,November,17-Nov\r
04-11-2017,01-11-2017,2017,November,17-Nov\r
05-11-2017,01-11-2017,2017,November,17-Nov\r
06-11-2017,01-11-2017,2017,November,17-Nov\r
07-11-2017,01-11-2017,2017,November,17-Nov\r
08-11-2017,01-11-2017,2017,November,17-Nov\r
09-11-2017,01-11-2017,2017,November,17-Nov\r
10-11-2017,01-11-2017,2017,November,17-Nov\r
11-11-2017,01-11-2017,2017,November,17-Nov\r
12-11-2017,01-11-2017,2017,November,17-Nov\r
13-11-2017,01-11-2017,2017,November,17-Nov\r
14-11-2017,01-11-2017,2017,November,17-Nov\r
15-11-2017,01-11-2017,2017,November,17-Nov\r
16-11-2017,01-11-2017,2017,November,17-Nov\r
17-11-2017,01-11-2017,2017,November,17-Nov\r
18-11-2017,01-11-2017,2017,November,17-Nov\r
19-11-2017,01-11-2017,2017,November,17-Nov\r
20-11-2017,01-11-2017,2017,November,17-Nov\r
21-11-2017,01-11-2017,2017,November,17-Nov\r
22-11-2017,01-11-2017,2017,November,17-Nov\r
23-11-2017,01-11-2017,2017,November,17-Nov\r
24-11-2017,01-11-2017,2017,November,17-Nov\r
25-11-2017,01-11-2017,2017,November,17-Nov\r
26-11-2017,01-11-2017,2017,November,17-Nov\r
27-11-2017,01-11-2017,2017,November,17-Nov\r
28-11-2017,01-11-2017,2017,November,17-Nov\r
29-11-2017,01-11-2017,2017,November,17-Nov\r
30-11-2017,01-11-2017,2017,November,17-Nov\r
01-12-2017,01-12-2017,2017,December,17-Dec\r
02-12-2017,01-12-2017,2017,December,17-Dec\r
03-12-2017,01-12-2017,2017,December,17-Dec\r
04-12-2017,01-12-2017,2017,December,17-Dec\r
05-12-2017,01-12-2017,2017,December,17-Dec\r
06-12-2017,01-12-2017,2017,December,17-Dec\r
07-12-2017,01-12-2017,2017,December,17-Dec\r
08-12-2017,01-12-2017,2017,December,17-Dec\r
09-12-2017,01-12-2017,2017,December,17-Dec\r
10-12-2017,01-12-2017,2017,December,17-Dec\r
11-12-2017,01-12-2017,2017,December,17-Dec\r
12-12-2017,01-12-2017,2017,December,17-Dec\r
13-12-2017,01-12-2017,2017,December,17-Dec\r
14-12-2017,01-12-2017,2017,December,17-Dec\r
15-12-2017,01-12-2017,2017,December,17-Dec\r
16-12-2017,01-12-2017,2017,December,17-Dec\r
17-12-2017,01-12-2017,2017,December,17-Dec\r
18-12-2017,01-12-2017,2017,December,17-Dec\r
19-12-2017,01-12-2017,2017,December,17-Dec\r
20-12-2017,01-12-2017,2017,December,17-Dec\r
21-12-2017,01-12-2017,2017,December,17-Dec\r
22-12-2017,01-12-2017,2017,December,17-Dec\r
23-12-2017,01-12-2017,2017,December,17-Dec\r
24-12-2017,01-12-2017,2017,December,17-Dec\r
25-12-2017,01-12-2017,2017,December,17-Dec\r
26-12-2017,01-12-2017,2017,December,17-Dec\r
27-12-2017,01-12-2017,2017,December,17-Dec\r
28-12-2017,01-12-2017,2017,December,17-Dec\r
29-12-2017,01-12-2017,2017,December,17-Dec\r
30-12-2017,01-12-2017,2017,December,17-Dec\r
31-12-2017,01-12-2017,2017,December,17-Dec\r
01-01-2018,01-01-2018,2018,January,18-Jan\r
02-01-2018,01-01-2018,2018,January,18-Jan\r
03-01-2018,01-01-2018,2018,January,18-Jan\r
04-01-2018,01-01-2018,2018,January,18-Jan\r
05-01-2018,01-01-2018,2018,January,18-Jan\r
06-01-2018,01-01-2018,2018,January,18-Jan\r
07-01-2018,01-01-2018,2018,January,18-Jan\r
08-01-2018,01-01-2018,2018,January,18-Jan\r
09-01-2018,01-01-2018,2018,January,18-Jan\r
10-01-2018,01-01-2018,2018,January,18-Jan\r
11-01-2018,01-01-2018,2018,January,18-Jan\r
12-01-2018,01-01-2018,2018,January,18-Jan\r
13-01-2018,01-01-2018,2018,January,18-Jan\r
14-01-2018,01-01-2018,2018,January,18-Jan\r
15-01-2018,01-01-2018,2018,January,18-Jan\r
16-01-2018,01-01-2018,2018,January,18-Jan\r
17-01-2018,01-01-2018,2018,January,18-Jan\r
18-01-2018,01-01-2018,2018,January,18-Jan\r
19-01-2018,01-01-2018,2018,January,18-Jan\r
20-01-2018,01-01-2018,2018,January,18-Jan\r
21-01-2018,01-01-2018,2018,January,18-Jan\r
22-01-2018,01-01-2018,2018,January,18-Jan\r
23-01-2018,01-01-2018,2018,January,18-Jan\r
24-01-2018,01-01-2018,2018,January,18-Jan\r
25-01-2018,01-01-2018,2018,January,18-Jan\r
26-01-2018,01-01-2018,2018,January,18-Jan\r
27-01-2018,01-01-2018,2018,January,18-Jan\r
28-01-2018,01-01-2018,2018,January,18-Jan\r
29-01-2018,01-01-2018,2018,January,18-Jan\r
30-01-2018,01-01-2018,2018,January,18-Jan\r
31-01-2018,01-01-2018,2018,January,18-Jan\r
01-02-2018,01-02-2018,2018,February,18-Feb\r
02-02-2018,01-02-2018,2018,February,18-Feb\r
03-02-2018,01-02-2018,2018,February,18-Feb\r
04-02-2018,01-02-2018,2018,February,18-Feb\r
05-02-2018,01-02-2018,2018,February,18-Feb\r
06-02-2018,01-02-2018,2018,February,18-Feb\r
07-02-2018,01-02-2018,2018,February,18-Feb\r
08-02-2018,01-02-2018,2018,February,18-Feb\r
09-02-2018,01-02-2018,2018,February,18-Feb\r
10-02-2018,01-02-2018,2018,February,18-Feb\r
11-02-2018,01-02-2018,2018,February,18-Feb\r
12-02-2018,01-02-2018,2018,February,18-Feb\r
13-02-2018,01-02-2018,2018,February,18-Feb\r
14-02-2018,01-02-2018,2018,February,18-Feb\r
15-02-2018,01-02-2018,2018,February,18-Feb\r
16-02-2018,01-02-2018,2018,February,18-Feb\r
17-02-2018,01-02-2018,2018,February,18-Feb\r
18-02-2018,01-02-2018,2018,February,18-Feb\r
19-02-2018,01-02-2018,2018,February,18-Feb\r
20-02-2018,01-02-2018,2018,February,18-Feb\r
21-02-2018,01-02-2018,2018,February,18-Feb\r
22-02-2018,01-02-2018,2018,February,18-Feb\r
23-02-2018,01-02-2018,2018,February,18-Feb\r
